warmheartedness
togetherness
tenderness
puppy-love
peace
mercifulness
lovingness
love
liking
kindheartedness
heavyheartedness
fondness
friendliness
love-ardor
favor
compassion
conscience
attachment
affection
benevolence
beneficence
amour-propre
amicability
brotherhood
belonging
amorousness
commiseration
enthusiasm-ardor
